Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Left,1,Antenna_Chip,
"BOOT1, RESET1",SW_TS-1088-AR02016,2,TS-1088-AR02016,TS-1088-AR02016 
C1,0402,1,10 nF,CL05B103KB5NNNC 
"C10, C12, C9",0402,3,10uF,CL05A106MQ5NUNC
"C11, C37, C38",0402,3,10uF,C15525
"C16, C18",0402,2,22pF,0402CG220J500NT
C17,0402,1,10uF, CL05A106MQ5NUNC
"C2, C3",0402,2,0.1uF,CL05B104KO5NNNC
C20,0402,1,1uF,CL05A105KA5NQNC
"C22, C28",0402,2,1uF,CL05A105KA5NQNC 
"C23, C24, C25, C26, C27",0402,5,0.1uF, CL05B104KO5NNNC
"C29, C30",0402,2,15pF,0402CG220J500NT
"C4, C5",0402,2,0.1uF,CL05B104KO5NNNC 
D2,D_SOD-323,1,ESD 3.3V, H3V3HD3B
D3,0603,1,LED,C2286
"D4, D7",0603,2,LED,KT-0603R
"D5, D6",H5VL10B,2,~,H5VL10B
D8,D_SMA,1,SS14,C2480
"J1, J3",PinHeader_1x22_P2.54mm_Vertical,2,~,
J4,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
JUSB1,USB_TYPE_18,1,~,DEALON USB-TYPE-C-018 
L3,0402,1,24 nH,SDCL1005C24NJTDF
L4,0603,1,2 nH,SDCL1608C2N0STDF 
L5,0402,1,4.7nH,SDCL1005C4N7STDF
Q2,SOT-23,1,AO3401A,C15127
"R10, R11, R7, R8, R9",0402,5,0,0402WGF0000TCE
R13,0402,1,499,0402WGF4700TCE
"R16, R17",0402,2,499,0402WGF4700TCE 
R18,0402,1,1K,C11702
"R2, R3",0603,2,5.1K,0603WAF5101T5E
R21,0402,1,100K,C25741
"R22, R23",0402,2,200K,C25764
R4,0603,1,10K,0603WAF1002T5E 
R5,0402,1,2K,C4109
"TP1, TP2, TP3, TP4",TestPoint_Pad_D1.0mm,4,TestPoint,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,AMS1117-3.3
U2,SOT-23-5,1,~,TP4054-42-SOT25R 
U3,IC_ESP32-S3,1,ESP32-S3,C2913192
U4,SOIC127P790X216-8N,1,W25Q128JVSIQ,W25Q128JVSIQ
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,~,5YMA40000151SF40E1
