Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,138.727001,-111.9378,0.0,top
C1,146.89,-76.06,270.0,top
C10,134.41,-85.717367,90.0,top
C11,134.0104,-97.953699,270.0,top
C12,133.7,-73.0,270.0,top
C16,149.382936,-70.217742,0.0,top
C17,135.422,-66.39,270.0,top
C18,149.86,-75.59,0.0,top
C2,136.0356,-85.717367,90.0,top
C20,136.45,-66.39,270.0,top
C22,140.11,-83.77,90.0,top
C23,142.29,-66.8,45.0,top
C24,137.8204,-78.467999,270.0,top
C25,147.427136,-70.217742,0.0,top
C26,136.8,-73.06,270.0,top
C27,147.91,-76.06,270.0,top
C28,147.427136,-69.21,0.0,top
C29,145.801536,-67.982542,315.0,top
C3,134.18,-70.97,0.0,top
C30,148.1328,-65.814,90.0,top
C37,134.847499,-107.9047,270.0,top
C38,134.364899,-102.0373,180.0,top
C4,144.765078,-108.802521,90.0,top
C5,140.828078,-108.802521,90.0,top
C9,140.41,-86.08,180.0,top
D2,133.9,-66.967258,90.0,top
D3,136.752499,-108.4747,90.0,top
D4,136.0356,-82.2706,90.0,top
D5,141.52,-116.385,270.0,top
D6,143.18,-116.385,270.0,top
D7,147.38,-90.306164,0.0,top
D8,140.3604,-98.5379,270.0,top
J1,131.064,-93.472,0.0,top
J3,153.924,-93.472,0.0,top
J4,132.8112,-124.3588,90.0,top
JUSB1,142.3424,-122.1667,0.0,top
L3,146.817536,-71.871142,90.0,top
L4,140.204136,-65.895742,0.0,top
L5,146.5072,-66.5988,225.0,top
Q2,136.4996,-97.4852,0.0,top
R10,139.5984,-81.7118,180.0,top
R11,142.54,-78.37,135.0,top
R13,150.61,-80.46,270.0,top
R16,134.41,-82.2706,90.0,top
R17,150.172,-90.306164,0.0,top
R18,137.260499,-102.0373,0.0,top
R2,136.67,-116.84,180.0,top
R21,136.9291,-99.883001,0.0,top
R22,135.509,-95.134299,0.0,top
R23,137.4648,-95.1343,0.0,top
R3,148.12,-116.84,180.0,top
R4,149.0726,-108.4958,90.0,top
R5,138.1901,-104.8766,270.0,top
R7,139.970933,-78.487999,90.0,top
R8,136.6012,-77.3938,45.0,top
R9,138.895667,-78.487999,90.0,top
RESET1,146.829601,-111.9378,180.0,top
U1,137.54,-90.77,0.0,top
U2,135.8025,-104.7496,90.0,top
U3,141.949936,-73.172642,270.0,top
U4,145.3388,-82.3468,180.0,top
Y2,149.306736,-72.912542,270.0,top
